tmp:1022.976, loss:1765.6862
tmp:1021.953024, loss:1495.1013
tmp:1020.931070976, loss:1774.3065
tmp:1019.910139905024, loss:1516.5206
tmp:1018.890229765119, loss:1600.9369
tmp:1017.8713395353539, loss:1510.7242
tmp:1016.8534681958186, loss:1521.6279
tmp:1015.8366147276228, loss:1681.5948
tmp:1014.8207781128951, loss:1733.0793
tmp:1013.8059573347822, loss:1563.9044
tmp:1012.7921513774475, loss:1676.3488
tmp:1011.77935922607, loss:1806.6361
tmp:1010.7675798668439, loss:1594.9938
tmp:1009.756812286977, loss:1674.606
tmp:1008.7470554746901, loss:1617.0823
tmp:1007.7383084192154, loss:1575.3317
tmp:1006.7305701107962, loss:1553.1636
tmp:1005.7238395406854, loss:1577.1576
tmp:1004.7181157011447, loss:1615.0126
tmp:1003.7133975854435, loss:1498.7213
tmp:1002.7096841878581, loss:1698.9358
tmp:1001.7069745036703, loss:1587.2351
tmp:1000.7052675291666, loss:1701.0673
tmp:999.7045622616374, loss:1614.0592
tmp:998.7048576993758, loss:1585.3843
tmp:997.7061528416764, loss:1800.7466
tmp:996.7084466888347, loss:1750.4548
tmp:995.7117382421459, loss:1566.3937
tmp:994.7160265039038, loss:1553.1349
tmp:993.7213104773999, loss:1741.3485
tmp:992.7275891669225, loss:1762.9281
tmp:991.7348615777555, loss:1912.5928
tmp:990.7431267161777, loss:1562.2369
tmp:989.7523835894615, loss:1538.7146
tmp:988.762631205872, loss:1707.8846
tmp:987.7738685746662, loss:1763.4999
tmp:986.7860947060915, loss:1748.9114
tmp:985.7993086113854, loss:1500.8916
tmp:984.813509302774, loss:1714.272
tmp:983.8286957934713, loss:1740.6384
tmp:982.8448670976778, loss:1718.0214
tmp:981.8620222305801, loss:1602.7646
tmp:980.8801602083496, loss:1630.6748
tmp:979.8992800481412, loss:1683.6293
tmp:978.9193807680931, loss:1545.7313
tmp:977.9404613873251, loss:1472.2517
tmp:976.9625209259377, loss:1562.2545
tmp:975.9855584050118, loss:1585.4293
tmp:975.0095728466068, loss:1687.1798
tmp:974.0345632737602, loss:1475.668
tmp:973.0605287104864, loss:1655.9213
tmp:972.087468181776, loss:1580.7666
tmp:971.1153807135942, loss:1739.6981
tmp:970.1442653328805, loss:1524.1765
tmp:969.1741210675476, loss:1678.184
tmp:968.20494694648, loss:1872.1467
tmp:967.2367419995336, loss:1439.603
tmp:966.2695052575341, loss:1838.2496
tmp:965.3032357522766, loss:1652.5607
tmp:964.3379325165243, loss:1711.4412
tmp:963.3735945840078, loss:1500.3237
tmp:962.4102209894238, loss:1589.7166
tmp:961.4478107684344, loss:1740.3108
tmp:960.486362957666, loss:1610.3793
tmp:959.5258765947083, loss:1747.8792
tmp:958.5663507181135, loss:1663.5481
tmp:957.6077843673954, loss:1630.9484
tmp:956.650176583028, loss:1590.8878
tmp:955.693526406445, loss:1682.944
tmp:954.7378328800386, loss:1626.9374
tmp:953.7830950471586, loss:1813.1117
tmp:952.8293119521114, loss:1635.6444
tmp:951.8764826401593, loss:1570.6622
tmp:950.9246061575192, loss:1675.1248
tmp:949.9736815513617, loss:1722.4976
tmp:949.0237078698103, loss:1608.0614
tmp:948.0746841619405, loss:1575.7582
tmp:947.1266094777785, loss:1573.8395
